category,room,floor,gross,updated,price,location
Daire,3+1,4. Kat,130 m²,9 Ekim,26.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,3+1,6. Kat,115 m²,9 Ekim,26.500 TL,İzmir - Narlıdere - Ilıca Mh.
Daire,2+1,3. Kat,75 m²,9 Ekim,20.000 TL,İzmir - Bayraklı - Cengizhan Mh.
Daire,1+1,2. Kat,65 m²,9 Ekim,19.000 TL,İzmir - Buca - Yaylacık Mh.
Müstakil Ev,3+1,,120 m²,9 Ekim,20.000 TL,İzmir - Urla - Gülbahçe Mh.
Daire,1+1,1. Kat,40 m²,9 Ekim,8.250 TL,İzmir - Buca - Şirinkapı Mh.
Daire,1+1,Düz Giriş (Zemin),45 m²,9 Ekim,12.000 TL,İzmir - Foça - Kazım Dirik Mh.
Daire,2+1,1. Kat,80 m²,9 Ekim,12.000 TL,İzmir - Buca - Adatepe Mh.
Daire,1+1,4. Kat,55 m²,9 Ekim,10.000 TL,İzmir - Bornova - Evka 4 Mh.
Daire,3+1,3. Kat,120 m²,9 Ekim,26.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,3+1,4. Kat,110 m²,9 Ekim,25.000 TL,İzmir - Konak - Güzelyalı Mh.
Daire,1 Oda,Çatı katı,45 m²,9 Ekim,6.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,2+1,4. Kat,95 m²,9 Ekim,15.000 TL,İzmir - Dikili - İsmetpaşa Mh.
Daire,3+1,3. Kat,135 m²,9 Ekim,32.000 TL,İzmir - Karabağlar - Esenyalı Mh.
Daire,3+1,Düz Giriş (Zemin),130 m²,9 Ekim,20.000 TL,İzmir - Karabağlar - Esentepe Mh.
Daire,3+1,1. Kat,130 m²,9 Ekim,27.500 TL,İzmir - Narlıdere - Yenikale Mh.
Daire,3+1,Yüksek giriş,125 m²,9 Ekim,13.250 TL,İzmir - Bornova - Serintepe Mh.
Daire,1 Oda,4. Kat,60 m²,9 Ekim,35.000 TL,İzmir - Çiğli - Ataşehir Mh.
Daire,2+1,Bahçe katı,85 m²,9 Ekim,22.000 TL,İzmir - Foça - Mustafa Kemal Atatürk Mh.
Daire,3+1,Yüksek giriş,130 m²,9 Ekim,27.000 TL,İzmir - Buca - Kozağaç Mh.
Daire,2+1,2. Kat,110 m²,9 Ekim,17.000 TL,İzmir - Gaziemir - Hürriyet Mh.
Daire,3+1,5. Kat,135 m²,9 Ekim,32.000 TL,İzmir - Konak - Göztepe Mh.
Daire,3+1,2. Kat,150 m²,9 Ekim,35.000 TL,İzmir - Karşıyaka - Tersane Mh.
Yalı Dairesi,3+1,7. Kat,165 m²,9 Ekim,24.000.000 TL,İzmir - Konak - Kültür Mh.
Daire,3+1,4. Kat,130 m²,9 Ekim,22.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,2+1,3. Kat,120 m²,9 Ekim,25.000 TL,İzmir - Karşıyaka - Aksoy Mh.
Daire,2+1,4. Kat,120 m²,9 Ekim,20.000 TL,İzmir - Karabağlar - Yunus Emre Mh.
Daire,2+1,4. Kat,134 m²,9 Ekim,56.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,2+1,4. Kat,85 m²,9 Ekim,21.000 TL,İzmir - Karşıyaka - İmbatlı Mh.
Daire,2+1,1. Kat,90 m²,9 Ekim,15.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,3+1,8. Kat,117 m²,9 Ekim,20.000 TL,İzmir - Çiğli - Evka-5 Mh.
Daire,1+1,3. Kat,55 m²,9 Ekim,14.000 TL,İzmir - Menemen - Gazi Mustafa Kemal Mh.
Daire,2+1,3. Kat,110 m²,8 Ekim,16.500 TL,İzmir - Bergama - Ertuğrul Mh.
