date,category,ad,loc,floor,age,rooms,gross,price
26-09-2024,Daire,Menderes Mh. Öğrenciye Kiralık 4+1 130 M2 Teraslı Doğalgazlı Daire,İzmir / Buca / Menderes Mah.,2. Kat,25 Yaşında,4 + 1,130 m²,20.000
11-10-2024,Daire,Goldia Yapı'Dan Merkezi Konumda Sıfır Eşyalı Kiralık 1+1,İzmir / Buca / Kozağaç Mah.,Ara Kat,4 Yaşında,1 + 1,55 m²,17.500
11-10-2024,Daire,Buca Atatürk Mah.'Nde Eşyalı Kiralık Daire (1+1),İzmir / Buca / Atatürk Mah.,En Üst Kat,18 Yaşında,Stüdyo,70 m²,18.500
11-10-2024,Daire,İzmir Buca Laleli Mahallesi//Konak Tünelinden Çıkışda Sağa Dönünce//Uçanyol Yakını//Önü Açık//2+1/Da,İzmir / Buca / Laleli Mah.,4. Kat,25 Yaşında,2 + 1,90 m²,13.000
10-10-2024,Daire,Kuruluş Emlaktan Site İçi Kiralık 2+1 130m2 Daire,İzmir / Buca / Mustafa Kemal Mah.,Ara Kat,4 Yaşında,2 + 1,130 m²,29.500
11-10-2024,Daire,Eşyalı-2 Oda 1 Salon Sıfır Daireler-Sıfır Eşyalar-Doğalgazlı,İzmir / Buca / Yaylacık Mah.,Ara Kat,Sıfır Bina,2 + 1,75 m²,24.000
10-10-2024,Daire,Site İçi Kiralık 3+1 145m2 Arakat Daire,İzmir / Buca / Mustafa Kemal Mah.,12. Kat,3 Yaşında,3 + 1,145 m²,35.000
11-10-2024,Daire,Goldia Yapı’Dan Hasanağa Yakını 1+1 Eşyalı Kiralık Daire,İzmir / Buca / Adatepe Mah.,Yüksek Giriş,5 Yaşında,1 + 1,55 m²,17.000
11-10-2024,Daire,For Sale & For Rentten 3+1 Vali Rahmi Bey Mah 150 M2 Ara Kat Daire,İzmir / Buca / Vali Rahmi Bey Mah.,3. Kat,25 Yaşında,3 + 1,155 m²,25.000
11-10-2024,Daire,"Doğalgazlı-3 Oda 1 Salon ,Zübeyde Hanım Eğitim Kurumları Karşısında",İzmir / Buca / Yenigün Mah.,En Üst Kat,12 Yaşında,3 + 1,125 m²,20.000
11-10-2024,Daire,Buca Günlük Haftalık Lüks Daireler,İzmir / Buca / Yaylacık Mah.,3. Kat,2 Yaşında,2 + 1,60 m²,200
11-10-2024,Daire,For Sale & For Rentten 3+1 İnkilapta 150m2 Şirinyer Metro Yakını Son Kat Daire,İzmir / Buca / İnkılap Mah.,En Üst Kat,25 Yaşında,3 + 1,160 m²,21.000
11-10-2024,Daire,Şirinyer İzbana Yakın 1+1,İzmir / Buca / Laleli Mah.,En Üst Kat,5 Yaşında,1 + 1,49 m²,15.000
11-10-2024,Daire,Buca Şirinyer Hürriyet Mah 3+1 110 M2 D.Gaz Asansör Otpark Eşyal,İzmir / Buca / Hürriyet Mah.,2. Kat,3 Yaşında,3 + 1,115 m²,30.000
11-10-2024,Daire,Buca Adatepe Işılay Saygın Yakını 2+1 100 M2 Kapalı Mutfak Kiralık Daire,İzmir / Buca / Adatepe Mah.,2. Kat,4 Yaşında,2 + 1,100 m²,20.000
11-10-2024,Daire,Buca Belediyesinin Yakıninda 3+1 Kiralık Daire,İzmir / Buca / Vali Rahmi Bey Mah.,3. Kat,25 Yaşında,3 + 1,140 m²,25.000
