Rooms,Area,Price,District
1+1,60,1.500 TL,Kuruçeşme
Stüdyo (1+0),40,1.750 TL,Yeşilbağlar
1+1,80,2.000 TL,Atatürk
Stüdyo (1+0),20,2.250 TL,Adatepe
1+1,55,2.350 TL,Kuruçeşme
Stüdyo (1+0),40,2.500 TL,Kuruçeşme
Stüdyo (1+0),55,2.600 TL,Adatepe
1+1,600,2.800 TL,Adatepe
1+1,60,3.000 TL,Kuruçeşme
1+1,45,3.000 TL,Vali
1+1,90,3.000 TL,Kuruçeşme
Stüdyo (1+0),20,3.000 TL,Kozağaç
1+1,55,3.500 TL,Şirinkapı
Stüdyo (1+0),45,3.500 TL,Kuruçeşme
Stüdyo (1+0),45,3.500 TL,Kuruçeşme
Stüdyo (1+0),45,3.750 TL,Kuruçeşme
Stüdyo (1+0),30,3.999 TL,Dumlupınar
1+1,45,4.000 TL,Atatürk
1+1,55,4.000 TL,Atatürk
1+1,40,4.000 TL,Atatürk
Stüdyo (1+0),45,4.000 TL,Menderes
Stüdyo (1+0),40,4.000 TL,Yıldız
Stüdyo (1+0),40,4.000 TL,Yıldız
1+1,50,4.100 TL,Yıldız
1+1,45,4.200 TL,Kuruçeşme
1+1,45,4.250 TL,Atatürk
1+1,55,4.500 TL,Yıldız
1+1,60,4.500 TL,Kuruçeşme
1+1,55,4.500 TL,Kuruçeşme
1+1,50,4.500 TL,Kuruçeşme
1+1,40,4.500 TL,Kozağaç
Stüdyo (1+0),30,4.500 TL,Kozağaç
1+1,50,4.500 TL,Kuruçeşme
1+1,45,4.500 TL,Kuruçeşme
1+1,55,4.500 TL,Kuruçeşme
1+1,50,4.500 TL,Adatepe
1+1,60,4.500 TL,Kuruçeşme
1+1,55,4.500 TL,Kuruçeşme
1+1,45,4.500 TL,Atatürk
Stüdyo (1+0),35,4.500 TL,Kozağaç
1+1,55,4.500 TL,Kozağaç
1+1,55,4.500 TL,Buca
Stüdyo (1+0),40,4.500 TL,Adatepe
1+1,60,4.500 TL,Kozağaç
1+1,55,4.500 TL,Adatepe
1+1,55,4.500 TL,Kuruçeşme
1+1,55,4.500 TL,Adatepe
Stüdyo (1+0),35,4.500 TL,Hürriyet
1+1,75,4.500 TL,Kozağaç
1+1,50,4.500 TL,Kuruçeşme
1+1,50,4.500 TL,Yıldız
1+1,50,4.500 TL,Kuruçeşme
Stüdyo (1+0),45,4.500 TL,Kuruçeşme
1+1,55,4.500 TL,Kuruçeşme
1+1,55,4.500 TL,Kuruçeşme
